"type","post_published","likes_count_fb","comments_count_fb","shares_count_fb","date"
"photo","2016-12-12",795,654,199,2016-12-12
"link","2016-12-12",405,215,55,2016-12-12
"link","2016-12-12",220,57,30,2016-12-12
"link","2016-12-12",129,118,0,2016-12-12
"photo","2016-12-12",494,101,157,2016-12-12
"video","2016-12-11",439,690,491,2016-12-11
"photo","2016-12-11",259,268,32,2016-12-11
"photo","2016-12-10",326,100,91,2016-12-10
"link","2016-12-10",399,323,94,2016-12-10
"link","2016-12-09",131,231,22,2016-12-09
"link","2016-12-09",158,389,182,2016-12-09
"link","2016-12-08",248,305,26,2016-12-08
"photo","2016-12-08",357,165,68,2016-12-08
"photo","2016-12-08",348,172,63,2016-12-08
